,model,train_r2,train_mae,train_rmse,test_r2,test_mae,test_rmse
0,LinearRegression,0.9520775367095642,2.43485348180275,3.116863990804979,0.4186738811382734,6.470635499000089,9.261846953175485
1,DecisionTreeRegressor,0.9596021314894078,1.8578458049886621,2.796789330993505,0.5895827710192503,6.098146258503401,8.953462169783556
2,SVR,0.8398128115055258,2.7029212883731546,5.7009337165175085,0.4351748203093339,7.3225163777955515,10.423971450403112
3,XGBRegressor,0.8853078706149391,3.6102214917682467,4.8270497365481,0.7058180755484817,5.536260463169643,7.641405259918753
4,RandomForestRegressor,0.9558144630073713,2.1446438970183412,2.9965305137146316,0.7413504698125944,5.068773640745743,7.201821651588716
5,BaggingRegressor,0.9663179132445647,1.8143354761904793,2.613935712350384,0.7795545631224533,4.795782380952384,6.611134579027298
6,GradientBoostingRegressor,0.9997925573914233,0.1107235835306275,0.2004309873388912,0.7632067852267548,5.11448068656417,6.846919517314125
7,AdaBoostRegressor,0.9303509921505965,3.1795641612627055,3.759983541509881,0.7756115801206426,4.908139630875558,6.624955929670369
8,NearestNeighbors,0.8516708026255909,3.523565759637188,5.424265522758474,0.6474070342916163,5.5319274376417225,8.257188709259797
9,CatBoostRegressor,0.9974841336439125,0.5464458281886417,0.6663094628654329,0.7882199792619834,4.545794403698133,6.343443603185499
10,ExtraTreesRegressor,1.0,1.4704854397632314e-13,2.723477664152936e-13,0.8549149580987672,3.8015520634920663,5.367026867974423
