,DecisionTreeRegressor,RandomForestRegressor,XGBRegressor,ExtraTreesRegressor,GradientBoostingRegressor,AdaBoostRegressor
0,nN,LUMO (eV),nN,B01[C-N],nN,HOMO (eV)
1,E1m,N%,N%,nN,N%,LUMO (eV)
2,GATS1v,nN,B01[C-N],N%,LUMO (eV),nN
3,Mor07m,HOMO (eV),LUMO (eV),RTs+,DISPe,N%
4,NdssC,GATS1e,DISPe,E1m,GATS1e,H-052
5,DISPe,RTs+,HATSs,GATS1e,E1m,GATS1m
6,RDF020u,RDF020u,B01[C-O],LUMO (eV),HOMO (eV),GATS1e
7,R4u,RDF020p,HOMO (eV),HOMO (eV),RTs+,GATS1v
8,RTs+,E1m,GATS1v,B01[C-O],GATS1v,AMW
9,B03[C-N],Mor29m,O%,nX,RDF020u,Mor07m
10,F02[C-O],Mor07m,Mor29m,DISPv,AMW,RDF020u
11,N%,R1e,H-052,Ui,GATS1m,DISPe
12,Mor27m,GATS1m,X%,nHDon,O%,TPSA(Tot)
13,GATS1m,TPSA(Tot),RDF020p,TPSA(Tot),H-052,RTs+
14,TDB03m,DISPe,DISPv,DISPm,R4u,R1e
15,GATS2m,AMW,B03[C-N],X%,Hy,E1m
16,RDF020p,GATS1v,RTs+,GATS1v,Mor07m,Mor12m
17,R1e,B03[C-N],GATS1e,H-052,X%,CIC2
18,DISPp,R4u,F01[C-O],R1v+,B01[C-O],TDB03m
19,SIC1,DISPv,nO,B03[C-N],GATS2m,DISPv
20,GATS1e,H-052,Mor27m,GATS1m,HATSs,F01[C-O]
21,E3v,X%,TPSA(Tot),Hy,RDF020p,H-049
22,HOMO (eV),Mor27m,Mor12m,RTv+,CIC2,RDF020p
23,R1p+,F01[C-O],nHDon,Mor07m,Mor29m,RARS
24,CATS2D_02_AL,O%,nHAcc,nHet,Mor12m,Mor27m
25,GATS2e,ATSC1m,CATS2D_02_AL,Mor12m,Mor27m,Hy
26,HATS5p,H-049,R1v+,DISPe,DISPp,R4u
27,Chi_G/D,GATS2e,SIC1,DLS_05,MATS1m,DM
28,RARS,GATS1p,E1m,C-011,E3v,O%
29,Mor29m,B01[C-O],Mor07m,VR2_RG,DISPv,E3v
30,Psi_i_A,DLS_cons,R1e,AMW,Me,nCt
31,Mor12m,TPSA,DLS_cons,nO,B03[C-N],nHet
32,DISPm,Mor12m,Chi_G/D,Mor27m,C-011,TPSA
33,DM,E3v,AMW,B05[C-O],Chi_G/D,DISPm
34,HATSs,DISPm,nCt,nCt,ATSC1m,B03[C-N]
35,ATSC1m,SIC1,Hy,nHM,NdssC,ATSC1m
36,nBM,GATS2m,GATS1m,LLS_02,VR2_RG,Mor29m
37,nCt,VR2_RG,B05[C-O],B01[C-S],GATS2e,GATS2m
38,CIC2,Hy,RARS,F01[C-O],TDB03m,DLS_cons
39,AMW,TDB03m,E3v,HATSs,DM,VR2_RG
40,DLS_cons,DM,F02[C-O],R4u,GATS1p,Me
41,LUMO (eV),CIC2,R4u,AAC,HATS5p,nHAcc
42,B01[C-O],nHAcc,H-049,DLS_04,TPSA(Tot),SIC1
43,B01[C-S],MATS1m,C-011,HATS5p,nO,C-011
44,C-011,HATSs,Me,NdssC,DLS_cons,DISPp
45,X%,B01[C-N],ATSC1m,nHAcc,TPSA,Psi_i_A
46,C-040,nHDon,VR2_RG,RDF020u,DLS_04,GATS2e
47,MATS1m,Chi_G/D,RDF020u,B02[C-O],AAC,Ui
48,H-049,Me,nHet,R1p+,DISPm,Chi_G/D
49,nHM,nO,B02[C-O],CATS2D_02_AL,RARS,GATS1p
50,nTB,DISPp,MATS1m,Me,R1v+,nHDon
51,CATS2D_03_DL,AAC,TPSA,SIC1,nHDon,HATSs
52,nRSR,HATS5p,TDB03m,nBM,H-049,HATS5p
53,RTv+,DLS_04,DISPm,MATS1m,R1p+,MATS1m
54,DLS_05,RARS,DISPp,TPSA,CATS2D_03_DL,RTv+
55,B05[C-O],Psi_i_A,GATS1p,Mor29m,nX,nROH
56,nHet,F02[C-O],CIC2,C-040,R1e,B01[C-N]
57,B01[C-N],CATS2D_02_DL,Ui,GATS2m,SIC1,B05[C-O]
58,nHDon,LLS_02,GATS2e,ATSC1m,nHAcc,DLS_04
59,nX,nHet,nROH,RDF020p,F02[C-O],nRSR
60,nHAcc,B05[C-O],DM,R1e,F01[C-O],LLS_02
61,DLS_04,R1v+,CATS2D_02_DL,CIC2,DLS_05,CATS2D_03_DL
62,H-052,R1p+,AAC,DM,nHet,nO
63,TPSA,RTv+,GATS2m,GATS1p,Psi_i_A,R1p+
64,Hy,CATS2D_02_AL,NdssC,H-049,B05[C-O],AAC
65,O%,nCt,HATS5p,O%,CATS2D_02_AL,DLS_05
66,GATS1p,B02[C-O],Psi_i_A,Psi_i_A,Ui,CATS2D_02_AL
67,DISPv,CATS2D_03_DL,nBM,GATS2e,RTv+,nHM
68,Ui,C-011,DLS_04,DLS_cons,nROH,R1v+
69,R1v+,DLS_05,RTv+,Chi_G/D,nCt,CATS2D_02_DL
70,B02[C-O],C-040,R1p+,nROH,nBM,C-040
71,Me,NdssC,CATS2D_03_DL,F02[C-O],LLS_02,F02[C-O]
72,AAC,nBM,nHM,DISPp,C-040,B01[C-S]
73,TPSA(Tot),Ui,nX,TDB03m,CATS2D_02_DL,NdssC
74,VR2_RG,nROH,C-040,E3v,B01[C-S],X%
75,CATS2D_02_DL,nX,nTB,RARS,nTB,nBM
76,nO,B01[C-S],nRSR,nTB,nHM,B02[C-O]
77,F01[C-O],nTB,DLS_05,CATS2D_03_DL,nRSR,nTB
78,nROH,nHM,B01[C-S],CATS2D_02_DL,B01[C-N],B01[C-O]
79,LLS_02,nRSR,LLS_02,nRSR,B02[C-O],nX
