,LinearRegression_train_true,LinearRegression_train_pred,GradientBoostingRegressor_train_true,GradientBoostingRegressor_train_pred,ExtraTreesRegressor_train_true,ExtraTreesRegressor_train_pred,LinearRegression_GradientBoostingRegressor_ExtraTreesRegressor_train_true,LinearRegression_GradientBoostingRegressor_ExtraTreesRegressor_train_pred
0,29.8,26.714692967438197,29.6,29.524370275106552,29.8,28.773406666666663,29.8,28.234883845968056
1,29.6,25.40460297331066,27.3,27.645444389126716,29.6,29.078960000000034,29.6,27.81836767497349
2,27.0,28.379335279000145,27.0,26.794357263376877,27.3,26.288229999999988,27.3,28.370233015441578
3,26.6,29.724360872592072,26.6,26.54399699655,27.0,25.204116666666685,27.0,26.547324527833062
4,24.0,24.33580782744471,24.0,24.29713587013236,24.0,24.70433333333338,26.6,26.410507874547427
5,20.0,21.609476079010236,20.0,19.706479143647066,20.0,19.843413333333334,24.0,23.05306215318753
6,18.0,16.092882109617406,18.0,17.952770761470866,18.0,17.142139999999994,18.0,16.237505192357577
7,17.2,18.38499113366821,17.2,17.308086707557386,16.0,15.865839999999997,17.2,15.980667559939903
8,14.1,15.667062947725455,16.0,16.27739410377446,11.9,13.838319999999984,16.0,15.703711827399946
9,19.2,20.775699463877274,11.9,11.824917881274196,14.1,14.523259999999997,11.9,11.510385799248851
10,14.3,15.648099836516522,14.1,14.625400238235665,20.0,20.843263333333347,14.1,14.061020977367813
11,17.1,14.793548995749077,20.0,19.907109756322413,20.0,18.467353333333335,20.0,19.260555128865064
12,11.0,15.787424688795838,19.2,19.28497297913422,19.2,18.802633333333336,19.2,18.366753079422317
13,27.7,31.533830470953475,14.3,14.52939400095528,14.3,16.33727,14.3,14.160546977531093
14,27.8,30.436630236874052,17.1,16.86284261240285,11.0,12.787386666666649,17.1,15.20104222085924
15,14.8,18.65695856324197,16.5,16.162273963674863,27.7,27.810910000000046,16.5,14.732678535266793
16,15.3,16.36483000268305,11.0,12.049387161317902,27.8,27.465789999999917,11.0,11.36013968477919
17,16.4,16.477808471128753,27.8,27.65134977360607,14.8,18.089806666666657,27.7,27.85709383020529
18,27.1,26.704271643199277,15.3,16.00419637455799,16.4,15.961129999999972,27.8,26.905638134504947
19,17.4,14.13163345645043,16.4,16.366386357395804,27.1,27.161963333333304,14.8,14.162482353737648
20,15.4,16.76988106389078,21.2,21.93218962303725,16.2,15.652286666666665,15.3,14.796313523963914
21,17.0,11.575827574364851,16.2,16.0428253226386,17.4,17.27656999999998,16.4,14.954868012852756
22,17.1,16.948076058030694,17.4,17.39348228680781,15.4,15.323683333333344,21.2,19.823698600168093
