model,train_r2,train_mae,train_rmse,test_r2,test_mae,test_rmse
AdaBoostRegressor,0.9299459199311073,3.162038653910389,3.766546721164352,0.7651123953966625,4.973032357728737,6.670262041090443
BaggingRegressor,0.9673742962592019,1.8043839285714358,2.572678227817165,0.7709463252064517,4.8473806666666714,6.684855839601428
DecisionTreeRegressor,0.9915529222650097,0.766468253968254,1.3006335968962714,0.5292570370101297,6.348603174603175,9.507920833036202
ExtraTreesRegressor,0.9788548893336253,1.3729546444444454,2.0676754890339653,0.777511752368558,4.452082333333334,6.481922692773059
GradientBoostingRegressor,0.9983665315476127,0.3783503448063063,0.5698553830529324,0.7694216399289963,4.675552762308926,6.669457373894984
LinearRegression,0.9506017159331133,2.4342048733042794,3.165213934851149,0.6077445336961322,5.748068424200416,8.436407711988094
NearestNeighbors,0.8752071353660703,3.278468253968254,5.030711592978019,0.704329003857962,5.064571428571429,7.597637010029963
RandomForestRegressor,0.9252558864540331,2.6981387697336032,3.8937861350313896,0.73129284372095,5.20633163428318,7.226934746598333
SVR,0.8396076785973502,2.6935409466038704,5.707204249190625,0.4404512511519981,7.312219119770316,10.48282061660142
XGBRegressor,0.8859173726500444,3.5929157439186463,4.808849859051678,0.6930939255577505,5.5986190593356175,7.710123850044265
